上海博泰悦臻PATEO	上海博泰悦臻电子设备制造有限公司
拓明科技	北京拓明科技有限公司
EC六度人和	深圳市六度人和科技有限公司
海格尔	山东海格尔信息技术股份有限公司
名策数据	北京名策数据处理有限公司
青苹果健康	上海慷慷汇科技有限公司
华傲数据	深圳市华傲数据技术有限公司
AUDAQUE	深圳市华傲数据技术有限公司
销售易CRM	北京仁科互动网络技术有限公司
易多共享	易多共享（北京）科技有限公司
一点租车	易多共享（北京）科技有限公司
猎云网	北京猎云万罗科技有限公司
寻医问药网	闻康集团股份有限公司
世纪闻康	闻康集团股份有限公司
健康党	杭州势成科技有限公司
逸创云客服	成都逸创信息技术有限公司
道通科技Autel	深圳市道通科技股份有限公司
酒业家	北京酒家世纪传媒技术有限公司
北京国双科技Gridsum	北京国双科技有限公司
永杨安风	永杨安风（北京）科技股份有限公司
LBE安全大师	永杨安风（北京）科技股份有限公司
办公逸	北京靠谱前程科技有限公司
笨鸟社交	厦门笨鸟电子商务有限公司
笨鸟电商	厦门笨鸟电子商务有限公司
三厚科技《新经济100人》	北京三厚科技有限公司
快法务	北京快又好信息技术有限责任公司
多趣短信	珠海市小源科技有限公司
产品大牛	济南达牛网络科技有限公司
达牛网络	济南达牛网络科技有限公司
春雨天下	北京春雨天下软件有限公司
春雨医生	北京春雨天下软件有限公司
荐荐科技	北京荐荐科技有限责任公司
咪兔	北京荐荐科技有限责任公司
图搜天下	图搜天下（北京）科技有限公司
生活号	北京号码生活网络科技有限公司
双享号	北京号码生活网络科技有限公司
苏州智华	苏州智华汽车电子有限公司
极课大数据	江苏曲速教育科技有限公司
曲速教育	江苏曲速教育科技有限公司
HONYEE鸿翼文化	上海鸿翼文化传媒股份有限公司
赤兔	北京领英唯我信息技术有限公司
LinkedIn领英网	北京领英唯我信息技术有限公司
一朵云	一朵云（北京）科技有限公司
365翻译	一朵云（北京）科技有限公司
名鞋库	名鞋库网络科技有限公司
点击网络	厦门鑫点击网络科技股份有限公司
极验验证	武汉极意网络科技有限公司
麦圈	深圳市圈聚科技有限公司
数据堂	数据堂（北京）科技股份有限公司
七格格	杭州黯涉电子商务有限公司
51Talk无忧英语	北京大生知行科技有限公司
佳一教育	北京佳一引航教育科技有限公司
Dashlane	Dashlane
美林数据	西安美林数据技术股份有限公司
氧气Bra	上海波辣兔信息科技有限公司
波辣兔科技	上海波辣兔信息科技有限公司
零壹空间	北京零壹空间科技有限公司
OneSpace	北京零壹空间科技有限公司
学习宝	北京东方皆冠科技有限公司
摩比神奇360 Security	摩比神奇（北京）信息技术有限公司
华夏威科	北京华夏威科软件技术有限公司
EDCO小三角户外	艾德克（北京）户外用品有限公司
赛德斯Sides	北京赛德斯汽车信息技术有限公司
作业帮	小船出海教育科技（北京）有限公司
知学友邦	北京知学友邦科技有限责任公司
爱考拉	北京知学友邦科技有限责任公司
景驰科技	北京景驰科技有限公司
MINIEYE佑驾创新	深圳佑驾创新科技有限公司
明码生物	明码 （上海） 生物科技有限公司
明码科技	明码 （上海） 生物科技有限公司
全域医疗	北京全域医疗技术有限公司
微窝WeiWo	广州微窝网络科技有限公司
智康博药	北京智康博药肿瘤医学研究有限公司
小车本Mobnote	北京智趣车联科技有限公司
YHOUSE悦会	上海悦会信息科技有限公司
EduSoho阔知网络	杭州阔知网络科技有限公司
XtalPI	深圳晶泰科技有限公司
晶泰科技	深圳晶泰科技有限公司
Alpine Immune Sciences	Alpine Immune Sciences
堵车么	北京协晟合科技有限公司
协晟合科技	北京协晟合科技有限公司
大旗网	北京旗云互动广告有限公司
翳安健康	北京翳安健康咨询有限公司
格致健康	南京格致基因生物科技有限公司
GoSpotCheck	GoSpotCheck
吉因加	北京吉因加科技有限公司
滔滔英语	上海育易网络科技有限公司
英倍汽车智能	广州英倍信息技术有限公司
博创联动	北京博创联动科技有限公司
Innovaccer	Innovaccer
慧科讯业	香港慧科讯业有限公司
昆仑数据K2DATA	昆仑智汇数据科技（北京）有限公司
Remi	北京优派科技有限公司
简网指阅	北京简网时代科技有限公司
诚医	北京诚医健康咨询有限公司
安泰创新	深圳安泰创新科技股份有限公司
随视传媒	北京随视传媒科技股份有限公司
山人技术	深圳市山人技术有限公司
女神进化论	艾芒（北京）科技有限公司
艾芒科技	艾芒（北京）科技有限公司
Performance Horizon	Performance Horizon
友德医	深圳友德医科技有限公司
AirSig密码钱包	AirSig
本地头条	杭州橙群网络科技有限公司
橙群网络	杭州橙群网络科技有限公司
四叶新媒体	四叶新媒体/Clover
Clover	四叶新媒体/Clover
易康云	易康云（北京）健康科技股份有限公司
原易康盛世	易康云（北京）健康科技股份有限公司
Distribusion	Distribusion
LEOMASTER理奥网络	深圳市理奥网络技术有限公司
Hillstone山石网科	山石网科通信技术（北京）有限公司
Hotoday英威诺	深圳市英威诺科技有限公司
汇医慧影	慧影医疗科技（北京）有限公司
推想科技	北京推想科技有限公司
DeepCare	北京羽医甘蓝信息技术有限公司
日志宝	北京方研矩行科技有限公司
Baca五洲万象	五洲万象（北京）科技有限公司
雅森科技	北京雅森科技发展有限公司
迪英加	杭州迪英加科技有限公司
乐蛙科技	乐蛙科技（上海）有限公司
Blueware蓝海讯通	北京蓝海讯通科技有限公司
费控宝	上海优读信息科技有限公司
优读科技	上海优读信息科技有限公司
轻轻家教	上海轻轻信息科技有限公司
洲涛智能	上海洲涛智能技术有限公司
京东金融	北京京东叁佰陆拾度电子商务有限公司
NuTonomy	NuTonomy
合盘金融	上海合盘金融信息服务股份有限公司
合盘贷	上海合盘金融信息服务股份有限公司
艾德思奇adSage	北京艾德思奇科技有限公司
驭势科技	驭势科技（北京）有限公司
差评	杭州麻瓜网络科技有限公司
WiseMedia新数网络	上海新数网络科技有限公司
BBD数联铭品	成都数联铭品科技有限公司
维客	浙江企朋网络技术股份有限公司
BestMinr百思科技	北京百思科技有限公司
拉手网	北京拉手网络技术有限公司
行云	北京行云网科技有限公司
Citelighter	Citelighter
DaoCloud道客云	上海道客网络科技有限公司
轻盈医学	北京轻盈无限科技有限公司
速腾聚创Robosense	深圳市速腾聚创科技有限公司
ASO100	北京七麦科技股份有限公司
七麦科技	北京七麦科技股份有限公司
追梦网	上海追梦网络科技有限公司
NextHealth	NextHealth
携康长荣	携康长荣医院管理（北京）有限公司
北风网	上海育创网络科技股份有限公司
上海育创网络	上海育创网络科技股份有限公司
智鼎智能	深圳市智鼎自动化技术有限公司
EMIE亿觅科技	深圳市亿觅科技有限公司
TimaNetworks钛马	钛马信息网络技术有限公司
康大预诊	上海亿库信息科技有限公司
亿库科技	上海亿库信息科技有限公司
蓝卫通科技	北京蓝卫通科技有限公司
App Annie	北京安亿致用科技有限公司
HiCTO上马石网络	上海上马石网络科技有限公司
FutureMove	飞驰镁物（北京）科技有限公司
飞驰镁物	飞驰镁物（北京）科技有限公司
知识印象	北京知识印象科技有限公司
明道	上海万企明道软件有限公司
订货宝	成都阿商信息技术有限公司
阿商科技	成都阿商信息技术有限公司
创梦客	广州创翼信息科技有限公司
广州创翼科技	广州创翼信息科技有限公司
导航犬	北京腾瑞万里信息技术有限公司
腾瑞万里	北京腾瑞万里信息技术有限公司
光环新网	北京光环新网科技股份有限公司
国银租赁	国银金融租赁有限公司
99Cloud	浙江九州云信息科技有限公司
九州云	浙江九州云信息科技有限公司
开干传媒	北京开干创业传媒技术有限公司
创毅科技	创毅科技集团有限公司
英语流利说	上海流利说信息技术有限公司
网利宝	北京网利科技有限公司
网利金融	北京网利科技有限公司
Tower	成都彩程软件设计有限公司
将门	做实事科技服务（北京）有限公司
声盟	蓝沛科技（北京）有限公司
思美传媒	浙江思美传媒股份有限公司
牛熊交易室	上海牛熊投资咨询有限公司
外勤365	南京掌控网络科技有限公司
南京掌控网络科技有限公司	南京掌控网络科技有限公司
烽火普天	武汉烽火普天信息技术有限公司
ImageQ	武汉烽火普天信息技术有限公司
星推网络	杭州星推网络科技股份有限公司
品友互动	北京品友互动信息技术有限公司
搬矿科技	上海搬矿网络科技有限公司
搬矿网络	上海搬矿网络科技有限公司
i8小时	上海汇明信息技术有限公司
上海汇明信息	上海汇明信息技术有限公司
企名片	北京企名片科技有限公司
互动派Pisns	广州互动派文化传播有限公司
SequoiaDB 巨杉数据库	广州巨杉软件开发有限公司
TradeHero全民股神	上海迈和信息科技有限公司
研趣科技	广州研趣信息科技有限公司
人人租机	广州研趣信息科技有限公司
英方软件	上海英方软件股份有限公司
掌上快销	广州市小蓝车网络科技有限公司
法和信息	上海法和信息科技有限公司
赢了网	上海法和信息科技有限公司
东方价值线	东方睿赢（北京）软件技术有限公司
东方睿赢	东方睿赢（北京）软件技术有限公司
凤凰众筹	凤凰众筹（北京）信息咨询有限公司
咕咚网	成都乐动信息技术有限公司
成都乐动	成都乐动信息技术有限公司
神州绿盟	北京神州绿盟信息安全科技股份有限公司
绿盟科技	北京神州绿盟信息安全科技股份有限公司
雪球财经	北京雪球信息科技有限公司
安硕信息Amarsoft	上海安硕信息技术股份有限公司
聚募网	杭州募聚网络科技有限公司
聚募众筹	杭州募聚网络科技有限公司
Sportradar雷达体育	北京舒福乐科技有限公司
知道创宇	北京知道创宇信息技术有限公司
加速乐	北京知道创宇信息技术有限公司
今日排行榜	北京双志伟业网络科技有限公司
双志伟业	北京双志伟业网络科技有限公司
速配云景	北京速配云景科技有限公司
大富翁股票	北京鼓掌移动科技有限公司
创冰科技	上海创冰信息科技有限公司
南京信风网络	南京信风网络科技有限公司
神猪	杭州冒险元素网络技术有限公司
